Badanie;Placówka;Cena
NORKLOZAPINA;Warszawa, al. Komisji Edukacji Narodowej 48;210.0
P/C PRZECIW FASCIOLA HEPATICA;Bielsk Podlaski, ul. Mickiewicza 58 lok. 1A;295.0
RPLA A 1 PLATAN KLONOLISTNY (T-241) IGE SWOISTE (L91);Rogoźno, ul. Wojska Polskiego 4a;61.0
HISTAMINA I JEJ METABOLITY W MOCZU.;Warszawa, ul. Bukowińska 22B;485.0
AMEBA - P/C MET. ODCZYNU HEMAGLUTYNACJI POŚREDNIEJ;Łódź, ul. Krokusowa 3;137.0
WITAMINA B3 (PP, NIACYNA, KW. NIKOTYNOWY);Nowy Sącz, ul. Lwowska 63;307.0
NASKÓREK SZCZURA(E87) - IGE SWOISTE (L91);Zgierz, ul. 1 Maja 37;61.0
LEPTOSPIROZA - P/C IGG (U24);Krosno, ul. Bursaki 29B;153.0
GENETYCZNY PANEL DIAGNOSTYCZNY - ENDOKRYNOLOGIA, METODA NGS (BADANIE Z KONSULTACJĄ);Sanok, ul. Sadowa 11a;3990.0
RARA H 3 LTP ORZECH ZIEMNY (F-424) IGE SWOISTE (L91);Wesoła, ul. Wspólna 2C;61.0
GROCH (F12) - IGE SWOISTE (L91);Lublin, ul. Hipoteczna 4;63.0
NASKÓREK KRÓLIKA (E82) - IGE SWOISTE (L91);Szczecin, ul. Klonowica 23A;61.0
GLISTA LUDZKA (P1) - IGE SWOISTE (L91);Komorniki, ul. Stawna 7/11;61.0
RHEV B 3 LATEKS (K-217) IGE SWOISTE (L91);Piastów, ul. Warszawska 43;61.0
KRĄŻĄCE KOMPLEKSY IMMUNOLOGICZNE (KKI) ANTY BORRELIA BURGDORFERI IGM MET. IMMUNOBLOT;Bełchatów, ul. Grota Roweckiego 23;313.0
SER PLEŚNIOWY(F82) - IGE SWOISTE (L91);Krzeszowice, ul. Kościuszki 54;61.0
WITAMINA B6;Przemyśl, ul. Kamienny Most  8;232.0
KONSULTACJA GENETYCZNA 30 MINUT;Warszawa, ul. Bukowińska 22B;350.0
PEPTYD UWALNIAJĄCY GASTRYNĘ PRO-GRP;Zabrze, ul. Jana III Sobieskiego 51;429.0
BRZOZA (T3) - IGE SWOISTE (L91);Stargard, ul. Żołnierza 12;61.0
OLANZAPINA;Szczecin, ul. Szosa Polska 54A;210.0
P/C ODPORNOŚCIOWE - TEST PRZESIEWOWY  (E05);Łódź, ul. Sierakowskiego 67A;52.0
SEROTONINA W DZM (O33);Gdańsk, ul. Guderskiego 2;202.0
OWSIKI W WYMAZIE OKOŁOODBYTNICZYM (A21);Brzeg Dolny, ul. Ossolińskiego 2D;21.0
JAK2 – BADANIE OBECNOŚCI MUTACJI P.V617F W GENIE JAK2 (POLICYTEMIA, TROMBOCYTEMIA I MIELOFIBROZA) METODĄ REAL-TIME PCR;Gdynia, ul. Powstania Styczniowego 9b;390.0
ALFA-2-ANTYPLAZMINA (AKTYWNOŚĆ) (G01);Szczecinek, ul. Myśliwska 12 lok. 2;146.0
PIEPRZ CZARNY (F280) - IGE SWOISTE (L91);Gdynia, ul. Bytomska 28;62.0
MANGAN W MOCZU (M93);Biały Bór, ul. C.K. Norwida 5;134.0
MONITOROWANIE TERAPII LEKAMI: IMMUNOSUPRESANTY-2, LC-MS/MS;Kraków, ul. F. Kniaźnina 1/U5;400.0
WYKRYWANIE DNA ADENOWIRUSA METODĄ REAL TIME-PCR;Gorzów Wielkopolski, ul. Dworcowa 4;188.0
PYRYLINKS - D (K53);Pruszcz Gdański, ul. Powstańców Warszawy 15;127.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - BARTONELLA MET. ELISPOT;Kielce, ul. Wapiennikowa 14;551.0
OZNACZENIE MIANA INHIBITORA ADAMTS-13;Toruń, ul. Watzenrodego 15A;1390.0
RPRU P 1 PR-10  BRZOSKWINIA (F-419) IGE SWOISTE (L91);Gdańsk, ul. Świętokrzyska 25;61.0
FENCYKLIDYNA;Kraków, ul. Kapelanka 13b;205.0
P/C PRZECIW BABESIA DIVERGENS (W KLASIE IGG);Warszawa, ul. Nowogrodzka 84/86;368.0
MIANSERYNA - BADANIE JAKOŚCIOWE W MOCZU;Bolesławiec, ul. Chopina 7;167.0
PANEL ALERGENÓW POKARMOWYCH- JAJO KURZE - 6 ALERGENÓW METODĄ POLYCHECK (L91);Rzeszów, ul. Podwisłocze 22A;189.0
POJEMNOŚĆ ANTYOKSYDACYJNA IMANOX;Starogard Gdański, ul. Gimnazjalna 2;213.0
WYKRYWANIE PRZECIWCIAŁ PRZECIWPŁYTKOWYCH W SUROWICY/ NA PŁYTKACH KRWI MET. IMMUNOENZYMATYCZNĄ (MAIPA);Szamotuły, ul. Wroniecka 33;1017.0
WIRUS DENGI PRZECIWCIAŁA  KLASY IGG;Bychawa, ul. Piłsudskiego 26/28/30;184.0
WYKRYWANIE PRZECIWCIAŁ KORONAWIRUSA SARS COV-2 IGG/IGM - TEST IMMUNOCHROMATOGRAFICZNY (KASETKOWY);Kołobrzeg, ul. Ratuszowa 3;84.0
PIÓRA KACZKI (E86) - IGE SWOISTE (L91);Szczecin, ul. Łukasińskiego 38B/9;61.0
PREGABALINA;Łódź, ul. Kopcińskiego 32;210.0
WYKRYWANIE DNA BABESIA MET. PCR;Rogowiec, ul. Św. Barbary 8;501.0
WANAD (R07);Warszawa, ul. Kasprzaka 29 l. U110;321.0
BADANIE GENETYCZNE WES - KOMPLEKSOWE SEKWENCJONOWANIE EGZOMU (BADANIE Z KONSULTACJĄ);Wiślica, ul. Batalionów Chłopskich 64;5100.0
P/C PRZECIW CHLAMYDII PSITTACI IGA;Grójec, ul. Piłsudskiego 61A lok. 1;323.0
ATP7B (CHOROBA WILSONA) – IDENTYFIKACJA NAJCZĘSTSZEJ MUTACJI P.HIS1069GLN ORAZ INNYCH MUTACJI WYSTĘPUJĄCYCH W EKSONIE 15 GENU ATP7B (CHOROBA WILSONA) METODĄ SEKWENCJONOWANIA SANGERA;Krasnystaw, ul. Poniatowskiego 4B;380.0
NASKÓREK PSA (E2) - IGE SWOISTE (L91);Mścice, ul. Rzemieślnicza 4;61.0
MIKROBIOTA GENETYCZNA (FLORAGEN);Otwock, ul. Batorego 44;990.0
OWIES/PYŁKI (G14) - IGE SWOISTE (L91);Polkowice, ul. Chełmońskiego 5a;61.0
ADRENALINA W DZM (I05);Łódź, ul. Felińskiego 7;161.0
WYKRYWANIE DNA ENTAMOEBA HISTOLYTICA;Łódź, ul. Odnowiciela 15;501.0
FOSFATAZA ALKALICZNA (ALP) (L11);Otwock, ul. Batorego 44;22.0
LORMETAZEPAM;Łódź, ul. Rzgowska 219;210.0
ALERGENY WEWNĄTRZDOMOWE (RX5) - IGE SWOISTE (L91);Poznań, ul. Cyryla Ratajskiego 9;71.0
PORFIRYNY W OSOCZU (WIDMO FLUORESCENCJI) (N41);Grójec, ul. Piłsudskiego 61A lok. 1;129.0
P/C PRZECIW AKWAPORYNIE 4;Warszawa, ul. Żegańska 48;321.0
LIPAZA (M67);Szczecinek, ul. Kilińskiego 7;22.0
NIETOLERANCJA FRUKTOZY – TEST WODOROWO-METANOWY;Płock, ul. Armii Krajowej 3B/004;314.0
P/C PRZECIW KANAŁOM WAPNIOWYM TYPU PQ I N;Wejherowo, ul. Rzeźnicka 1A/3;303.0
GRUPA KRWI, RH (E65);Konin, ul. Kolejowa 11;57.0
METABOLITY METADONU, LC-MS/MS;Gorzów Wielkopolski, ul. PIŁSUDSKIEGO 1B;230.0
PYRALGINA (METAMIZOL);Koluszki, ul. Sikorskiego 12;161.0
RALT A 1 ALTERNARIA ALTERNATA (M-229) IGE SWOISTE (L91);Bydgoszcz, ul. Grzymały-Siedleckiego 30;61.0
FOODPROFIL WEGAN;Szczecin, ul. Milczańska 7K;1402.0
ODCHODY GOŁĘBIA (E7) - IGE SWOISTE (L91);Białystok, ul. Łąkowa 9;57.0
P/C PRZECIW FOSFATYDYLOSERYNIE IG G;Chojnice, ul. Obrońców Chojnic 3;221.0
OVOMUCOID (F233) - IGE SWOISTE (L91);Ciechanów, ul. Ściegiennego 9;68.0
RUFINAMID;Katowice, ul. Panewnicka 65;208.0
CRYPTOCOCCUS NEOFORMANS ANTYGEN (W31);Leszno, ul. Niepodległości 49;410.0
CFTR – ANALIZA MUTACJI METODĄ NGS;Bychawa, ul. Piłsudskiego 26/28/30;2190.0
PROLAKTYNA (PRL) (N59);Warszawa, al. Komisji Edukacji Narodowej 26;60.0
FENYTOINA (T27);Łódź, ul. Cieszkowskiego 6;124.0
P/C PRZECIW JĄDROWE ANA (WYKRYWANIE METODA IIFT + MIANO) (O21);Gostynin, ul. Armii Krajowej 16;93.0
PANEL BADAŃ PRZESIEWOWYCH W KIERUNKU PREDYSPOZYCJI DO DZIEDZICZNEJ RODZINNEJ POLIPOWATOŚCI JELITA GRUBEGO - ANALIZA 8 GENÓW, METODA NGS;Kraków, ul. F. Kniaźnina 1/U5;2900.0
TELLUR;Wałbrzych, ul. Chrobrego 2;306.0
P/C PRZECIW WIRUSOWI SARS COV-2 W KLASIE IGG, (S1,S2, N) MET. WESTERN- BLOT.;Leszno, ul. Niepodległości 49;156.0
WYKRYWANIE DNA WIRUSA HBV METODĄ REAL TIME-PCR (V47);Lubartów, ul. Słowackiego 1/5;165.0
TP53 (PIERWSZY ETAP) – BADANIE MUTACJI W EKSONACH 5-8 (CLL, ZESPÓŁ LI-FRAUMENI) (BLOCZEK PARAFINOWY – TKANKA NOWOTWOROWA LUB KREW OBWODOWA) METODĄ SEKWENCJONOWANIA SANGERA;Bytom, ul. Wrocławska 32-34;660.0
WYKRYWANIE DNA ORAZ OZNACZANIE GENOTYPU WIRUSA HPV - 28 GENOTYPY (F38);Warszawa, ul. Strumykowa 40A;191.0
MIX PLEŚNI (MX2) (L91);Nowy Sącz, ul. Jana Długosza 32a;74.0
LEGIONELLA - ANTYGEN W MOCZU (U18);Warszawa, ul. Nowaka-Jeziorańskiego 7;186.0
BETA-2-MIKROGLOBULINA (M92);Mrągowo, ul. Królewiecka 28/1;131.0
SEROTONINA W SUROWICY (O33);Wrocław, pl. Dominikański 6;202.0
UGT1A1 (HIPERBILIRUBINEMIA) – BADANIE LICZBY POWTÓRZEŃ (TA)N W PROMOTORZE GENU UGT1A1 (HIPERBILIRUBINEMIA - ZESPÓŁ GILBERTA) METODĄ MIKROMACIERZY;Ińsko, ul. Bohaterów Warszawy 4;232.0
CHROMOGRANINA A;Lubawa, ul. Mieszka I 9;228.0
HPA-1A ANTYGEN, OBECNOŚĆ;Rabka-Zdrój, ul. Kościuszki 1D;174.0
SULTIAM;Strzelce Krajeńskie, al. Piastów 3A;153.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - ASPERGILLUS MET. ELISPOT;Wałbrzych, ul. Kusocińskiego 15;606.0
WIEPRZOWINA (F26) - IGE SWOISTE (L91);Bychawa, ul. Piłsudskiego 26/28/30;63.0
ORZECH KOKOSOWY (F36) - IGE SWOISTE (L91);Kowala-Stępocina, ul. Walewskiej 5;75.0
POZOSTAŁOŚCI TRAWIENIA;Katowice, ul. Tysiąclecia 17;165.0
ŁOSOŚ (F41) - IGE SWOISTE (L91);Łódź, ul. Rzgowska 170;61.0
WYKRYWANIE ANTYGENU GDH ORAZ TOKSYN A I B CLOSTRIDIOIDES DIFFICILE (S81/S82);Racibórz, ul. Bielska 2;153.0
BRZOSKWINIA (F95) - IGE SWOISTE (L91);Dobiegniew, ul. Mickiewicza 3;58.0
PRAZEPAM;Wałcz, ul. Andersa 15;166.0
MNISZEK LEKARSKI (W8) - IGE SWOISTE (L91);Warszawa, ul. Kasprzaka 17;71.0
PANEL CELIAKIA IGA-METODĄ POLYCHECK;Kraków, os. Kolorowe 21;161.0
POSIEW ZE ZMIANY TRĄDZIKOWEJ - TLENOWO (91.831);Biłgoraj, ul. Kopernika 25;100.0
WYKRYWANIE DNA STAPHYLOCOCCUS AUREUS METODĄ REAL TIME - PCR, JAKOŚCIOWO (U70);Bytów, ul. Sychty 5 lokal 3B;154.0
KWAS MOCZOWY W MOCZU ZE ZBIÓRKI DOBOWEJ (M45);Ostrowiec Świętokrzyski, ul. 11 Listopada 3G;17.0
OREGANO (F283) - IGE SWOISTE (L91);Warszawa, ul. Górskiego 6;69.0
FOODPROFIL  88 IGG4;Drzewica, ul. Stawowa 27;917.0
MAPROTYLINA;Warszawa, pl. S. Starynkiewicza 1/3;161.0
SEROXAT (PAROKSETYNA);Rzeszów, ul. Litewska 29;153.0
RHEV B 8 LATEKS (K-221 ) IGE SWOISTE (L91);Sokołów Małopolski, ul. Rynek 42;63.0
WYKRYWANIE RNA RHINOWIRUSA METODĄ REAL TIME - PCR, JAKOŚCIOWO;Łódź, ul. Kopcińskiego 32;154.0
SELER (F85) - IGE SWOISTE (L91);Wodzisław Śląski, ul. Mendego 18;61.0
AMBROSIA ELATIOR (W1) - IGE SWOISTE (L91);Nowy Dwór Gdański, ul. Dworcowa 11;62.0
WOLNA TYROKSYNA (FT4) (O69);Stargard, ul. Żołnierza 12;39.0
KARP (F119) - IGE SWOISTE (L91);Rybnik, ul. Mościckiego 4;61.0
WYKRYWANIE ANTYGENÓW ROTAWIRUSÓW I ADENOWIRUSÓW (F37);Białystok, ul. Rzemieślnicza 40;55.0
EBV - WIRUS EPSTEINA BARR ANTYGEN VCA P/C IGG (MONONUKLEOZA) (F53);Połczyn-Zdrój, ul. Zdrojowa 6;53.0
METABOLIT SPOŻYCIA ALKOHOLU PETH - FOSFATYDYLOETANOL METODĄ LC-MS;Pruszcz Gdański, ul. Powstańców Warszawy 15;196.0
LUDZKIE BIAŁKO Z KOMÓREK NABŁONKOWYCH NAJĄDRZA (I52);Warszawa, al. Komisji Edukacji Narodowej 98;117.0
KREW UTAJONA W KALE MET. ILOŚCIOWĄ;Szczecinek, ul. Spółdzielcza 8;51.0
NITRAZEPAM;Kowala-Stępocina, ul. Walewskiej 5;229.0
ACARUS SIRO (D70) - IGE SWOISTE (L91);Bydgoszcz, ul. Garbary 5;61.0
ODCZYN WAALER-ROSE (K21);Częstochowa, ul. Dekabrystów 33 p. 9;32.0
HLA-C – BADANIE GENOTYPU HLA-C (NIEPŁODNOŚĆ IMMUNOLOGICZNA, PORONIENIA, ZABURZENIA IMPLANTACJI) METODĄ PCR SSP;Skórzewo, ul. Poznańska 7;362.0
PANEL: WYKRYWANIE MATERIAŁU GENETYCZNEGO: BORRELIA BURGDORFERI, KZM, ANAPLASMA PHAGOCYTOPHILUM, EHRICHIA CHAFFEENSIS/ E. MURRIS, RICKETTSIA SPP., COXIELLA BURNETTI, BABESIA SPP. – BADANIE KLESZCZA;Warszawa, ul. Bukowińska 22B;399.0
BETA-2-MIKROGLOBULINA W MOCZU (M92);Łódź, ul. Niciarniana 49;110.0
ALPRAZOLAM;Strzelce Krajeńskie, al. Piastów 3A;200.0
WYKRYWANIE MATERIAŁU GENETYCZNEGO ROTAWIRUSA, NOROWIRUSA ORAZ ASTROWIRUSA;Koło, ul. Ks. Józefa Poniatowskiego 25;890.0
OKSAZEPAM;Łódź, ul. Armii Krajowej 33 B;210.0
P/C PRZECIW SARKOLEMIE;Katowice, ul. Tadeusza Kościuszki 92 B;113.0
CA 125 (I41);Warszawa, ul. Kuflewska 6;68.0
WYKRYWANIE DNA YERSINIA ENTEROCOLITICA;Poznań, ul. Czarna Rola 21/19;577.0
RDER P 10 ROZTOCZE KURZU DOMOWEGO, TROPOMIOZYNA (D-205) IGE SWOISTE (L91);Ciechanów, ul. Św. Anny 2;68.0
KOTYNINA W MOCZU - JAKOŚCIOWO;Olsztynek, ul. Chopina 10a;163.0
MIECZNIK (F312) - IGE SWOISTE (L91);Krosno, ul. Lniarska 12;53.0
HBE - P/C PRZECIW HBE (WZW TYPU B) (V38);Iława, ul. Andersa 2C/IV;113.0
BIAŁKO MONOKLONALNE METODA IMMUNOFIKSACJI (IFE);Warszawa, ul. Cybernetyki 17 lok. U9;352.0
PSA CAŁKOWITY (I61);Radomsko, ul. Reymonta 46;50.0
NGAL-ALPHA-1,3- GAL (O215) IGE SWOISTE (L91);Ińsko, ul. Bohaterów Warszawy 4;54.0
WYKRYWANIE LATENTNEGO  ZAKAŻENIA PRĄTKAMI GRUŹLICY –  TEST QUANTIFERON-TB;Ostrołęka, ul. gen. Ignacego Prądzyńskiego 4;296.0
JABŁKO (F49) - IGE SWOISTE (L91);Kraków, ul. Piastowska 1B;61.0
EBV - WIRUS EPSTEINA BARR ANTYGEN JĄDROWY P/C IGG (MONONUKLEOZA) (F45);Bełchatów, ul. Czapliniecka 93/95;97.0
SER CHEDDAR (F81) - IGE SWOISTE (L91);Limanowa, ul. Kościuszki 9;63.0
ANAPLAZMOZA (ZAKAŻENIE ANAPLASMA PHAGOCYTOPHILUM) – P/C IGG;Wrocław, ul. Kamieńskiego 227/U3;250.0
MIESZANKA DRZEW (TX4) - IGE SWOISTE (L91);Starogard Gdański, ul. Gimnazjalna 2;69.0
KWAS MASŁOWY W KALE;Kraków, ul. Kijowska 64;205.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - MYCOPLASMA PNEUMONIAE MET. ELISPOT;Żyrardów, ul. Okrzei 8/14;636.0
CHLORKI W SUROWICY (I97);Kwidzyn, ul. Gen. Józefa Hallera 31;12.0
NORKLOBAZAM;Szczecin, ul. Kwiatkowskiego 1/4A;210.0
WIRUS ZACHODNIEGO NILU;Warszawa, al. Komisji Edukacji Narodowej 48;654.0
TRIMIPRAMINA;Białystok, ul. Kolejowa 12B;147.0
P/C PRZECIW CLOSTRIDIUM TETANI IGG (TĘŻCOWI);Tychy, ul. Starokościelna 1;191.0
SIBO – TEST WODOROWO-METANOWY;Tychy, ul. Dmowskiego 15/6;419.0
ROLE E 1 OLIWKA (T-224) IGE SWOISTE (L91);Nidzica, ul. Traugutta 21;71.0
SCREENING SUBSTANCJI PSYCHOAKTYWNYCH-2 (60 ZWIĄZKÓW), LC/MS/MS;Tczew, ul. Jasia i Małgosi 6b/9;458.0
WITAMINA D-25(OH);Łódź, ul. Rzgowska 170;84.0
KINAZA KREATYNOWA (CK) (M18);Szczecin, ul. Łukasińskiego 38B/9;23.0
CYSTYNA (K19);Nowy Sącz, ul. Długosza 9;96.0
LAKTOFERYNA;Łódź, ul. Sierakowskiego 67A;305.0
WIRUS ZAPALENIA WĄTROBY TYPU A RNA;Warszawa, ul. Powstańców Śląskich 3A lok. U4;387.0
P/C PRZECIW JĄDROM NEURONÓW (ANTY-HU);Kielce, ul. Piłsudskiego 39 lok 5;172.0
KAŁ BADANIE OGÓLNE I OCENA RESZTEK POKARMOWYCH (A23);Mszana Dolna, ul. Starowiejska 2;40.0
P/C PRZECIW RETIKULINIE (ARA) (O17);Koronowo, ul. Ogrodowa 19;232.0
CFTR–ANALIZA FRAGMENTÓW, ABI 3500 DX;Piaseczno, ul. Tukanów 10;465.5
NIKIEL W MOCZU (P69);Janki, al. Krakowska 38;169.0
P/CIAŁA ASCARIS LUMBRICOIDES (GLISTA LUDZKA) (X01);Siedlce, ul. Starowiejska 66;87.0
RVESA V 5  OSA POSPOLITA (I-209) IGE SWOISTE (L91);Czarne, pl. Wolności 10;54.0
LEPTYNA (M62);Brzeziny, ul. Przedwiośnie 2e;352.0
PROGESTERON (N55);Wrocław, ul. Dokerska 9;42.0
WYKRYWANIE DNA 14 WYSOKOONKOGENNYCH TYPÓW WIRUSA HPV METODĄ REAL TIME-PCR (F38 );Węgorzyno, ul. Grunwaldzka 27a;157.0
ROLE E 9 OLIWKA (T-240) IGE SWOISTE (L91);Tomaszów Mazowiecki, ul. Stolarska 31;61.0
MAKRELA ATLANTYCKA (F206) - IGE SWOISTE (L91);Głogów Małopolski, ul. W. Sławka 2;53.0
METOKSYKATECHOLAMINY W DZM (M99);Lublin, ul. Ceramiczna 1;211.0
KWASY ŻÓŁCIOWE (M53);Gdynia, ul. Powstania Styczniowego 9b;66.0
P/C PRZECIW BŁONIE KOM. HEPATOCYTÓW (LMA);Bydgoszcz, ul. Żwirki i Wigury 54X lok U 16;124.0
PRZEGRZEBEK (F338) - IGE SWOISTE (L91);Poznań, ul. Cyryla Ratajskiego 9;69.0
P/C PRZECIW DEAMIDOWANYM PEPTYDOM GLIADYNY IG A (N83);Bibice, ul. Warszawska 178;119.0
WYKRYWANIE DNA CLOSTRIDIUM DIFFICILE METODĄ REAL TIME - PCR, JAKOŚCIOWO (S83);Radomsko, ul. Reymonta 46;344.0
MIESZANKA ROZTOCZY (RX2) - IGE SWOISTE (L91);Warszawa, ul. Żegańska 48;69.0
SARS-COV-2 IGG ANTIBODIES (QUANTITATIVE);Biskupiec, ul. Zygmunta Krasińskiego 1A;119.0
RTĘĆ WE KRWI (P89);Przeworsk, ul. Konopnickiej 15;208.0
JAD PSZCZOŁY (I1) - IGE SWOISTE (L91);Świdnica, ul. Kazimierza Wielkiego 5;58.0
IMMUNOGLOBULINA IG G W SUROWICY (L93);Poznań, os. Piastowskie 58;54.0
GRYPA A - P/C IGG (F75);Warszawa, ul. Kondratowicza 18;114.0
WITAMINA D- METABOLIT 1,25(OH)2;Choszczno, ul. Jagiełły 16B/1;219.0
BADANIE DŁUGOŚCI TELOMERÓW (WIEK BIOLOGICZNY);Leszno, ul. Niepodległości 49;852.0
RBET V6 (T225) IGE SWOISTE (L91);Bogatynia, ul. Pocztowa 13;62.0
POKRZYWA ZWYCZAJNA (W20) - IGE SWOISTE (L91);Tarnobrzeg, ul. Mickiewicza 34;53.0
FX3 SKORUPIAKI / RYBY;Koło, ul. PCK 8;71.0
TPS - TKANKOWY SWOISTY ANTYGEN POLIPEPTYDOWY (I57);Lublin, ul. Krasińskiego 2/15;126.0
IMIPRAMINA - BADANIE JAKOŚCIOWE W MOCZU (T31);Rzeszów, ul. Lubelska 13;87.0
HLA-DQ2 – BADANIE OBECNOŚCI PODTYPU GENU HLADQ2/DQ8-H - DQA1*05/DQB1*02 ORAZ DQB1*0302 (CELIAKIA) METODĄ REAL-TIME PCR;Brzeziny, ul. Przedwiośnie 2e;291.0
ODCZYN BIERNACKIEGO (C59);Wrocław, ul. Stalowa 50;15.0
TOPIRAMAT (TOPAMAX);Warszawa, ul. Marszałkowska 83;336.0
KWAS HYDROKSYMASŁOWY (M49);Kraków, ul. Myśliwska 66;194.0
WITAMINA E (TOKOFEROL) W SUROWICY;Olsztyn, ul. Barcza 58 lok U10;131.0
PSTRĄG (F204) - IGE SWOISTE (L91);Kowala-Stępocina, ul. Walewskiej 5;65.0
BIAŁKO C (G05);Ciechanów, ul. Ściegiennego 9;183.0
ZOLPIDEM (STILNOX) -  BADANIE JAKOŚCIOWE W MOCZU;Brzeziny, ul. Przedwiośnie 2e;138.0
SIERŚĆ KONIA (E3) - IGE SWOISTE (L91);Warszawa, ul. Przy Agorze 26;61.0
BETA LAKTOGLOBULINA (F77) - IGE SWOISTE (L91);Warszawa, ul. Przeworska 7 lok. U5;61.0
PANEL HORMONY KOBIECE ŚLINA ROZSZERZONY;Lublin, ul. Ceramiczna 1;586.0
SIERŚĆ KOTA (E1) - IGE SWOISTE (L91);Gniezno, ul. Grzybowo 29/1;61.0
PARAGRYPA - P/C IGM;Rybnik, ul. Mościckiego 4;184.0
RCAN F 2  PIES (E-102) IGE SWOISTE (L91);Gdańsk, ul. Subisława 27C/5;77.0
P/C PRZECIW PEMPHIGUS I PEMPHIGOID W KLASIE IGG;Mińsk Mazowiecki, ul. Warszawska 141 lok U2;96.0
TPA - TKANKOWY ANTYGEN POLIPEPTYDOWY (I55);Łódź, ul. Przybyszewskiego 161A;269.0
CYNA;Warszawa, ul. Cybernetyki 17 lok. U9;169.0
RAK PIERSI I JAJNIKA - BADANIE 8 MUTACJI W GENIE BRCA1 NAJCZĘSTSZYCH W POPULACJI POLSKIEJ ORAZ MUTACJI RZADKICH (OKOŁO 150) WYSTĘPUJĄCYCH W EKSONACH 2, 5, 20 ORAZ WE FRAGMENCIE EKSONU 11 GENU BRCA1;Starogard Gdański, ul. Gimnazjalna 2;354.0
HEV - P/C IGG I IGM MET. WESTERN-BLOT;Wrocław, ul. Boya Żeleńskiego 22;831.0
WIRUS CHIKUNGUNYA - PRZECIWCIAŁA IGM;Sosnowiec, ul. Zaruskiego 3B;42.0
T-CELLSPOT CANDIDA;Sochaczew, ul. Żeromskiego 27;519.0
OWOCE MIX 2 (FX16) - IGE SWOISTE (L91);Ińsko, ul. Bohaterów Warszawy 4;56.0
PROFIL CYTOKIN STANU ZAPALNEGO  - IL-1BETA , IL-6, IL-8, IL-10, IL-12, TNF-ALFA;Przybiernów, ul. Cisowa 3;361.0
WENLAFAKSYNA;Szczecinek, ul. Kilińskiego 7;166.0
STĘŻENIE 6-TIOGUANINY W KRWINKACH CZERWONYCH;Chełm, ul. Słowackiego 33;361.0
CFTR – BADANIE 8 NAJCZĘSTSZYCH IDENTYFIKOWANYCH MUTACJI ORAZ RZADSZYCH WARIANTÓW W GENIE CFTR (EKSON 4, 11, 12, 21 ORAZ INTRON 8, DELECJA EKSON 2, 3) METODĄ SEKWENCJONOWANIA SANGERA / HYBRYDYZACJI.;Olkusz, pl. Konstytucji 3 maja 2E;569.0
P/C PRZECIW GANGLIOZYDOWE MET. IB (GM1, GD1B, GQ1B) W KLASIE IGM;Drzewica, ul. Stawowa 27;433.0
KWAS MLEKOWY (MLECZANY) (N11);Kraków, ul. Kobierzyńska 98;27.0
APOLIPOPROTEINA A1 (APO A1) (I71);Myszków, ul. M.C. Skłodowskiej 6;88.0
MAKROPROLAKTYNA (N59);Lubin, ul. Bema 5-6;155.0
PROKALCYTONINA PCT (N58);Gołdap, ul. Słoneczna 9;259.0
MUKOWISCYDOZA (CF) - TEST MLPA ANALIZA DELECJI/DUPLIKACJI W GENIE CFTR;Szczecin, ul. Bolesława Śmiałego 33;700.0
DRZEWA WCZESNE (TX5) (L91);Bełchatów, ul. Czapliniecka 93/95;61.0
PANEL BADAŃ ZWIĄZANYCH Z NOWOTWORAMI HEMATOLOGICZNYMI - ANALIZA GENÓW, METODA NGS;Warszawa, ul. Marszałkowska 83;3900.0
ŚWINKA - P/C IGM (F93);Działdowo, ul. Leśna 3 lok. U3;193.0
PARACETAMOL (C85) - IGE SWOISTE (L91);Biskupiec Pomorski, ul. Lipowa 7;61.0
NIETOLERANCJA SORBITOLU – TEST WODOROWO-METANOWY;Mielec, ul. Pisarka 3A/3;314.0
GENTAMYCYNA (T30);Głogów, ul. Gwiaździsta 19;242.0
WYKRYWANIE RNA WIRUSA PARAINFLUENZA METODĄ REAL TIME - PCR, JAKOŚCIOWO;Gdynia, ul. Gorczycowa 12B lok U4;154.0
ŚLEDŹ (F205) - IGE SWOISTE (L91);Warzymice, ul. Warzymice 44;69.0
GENETYCZNA PREDYSPOZYCJA DO NOWOTWORÓW SKÓRY (CZERNIAK-MELANOMA), TRZUSTKI, PIERSI, JELITA GRUBEGO, PŁUC - ANALIZA MUTACJI A148T GENU CDKN2A (P16);Rzeszów, ul. Strzelnicza 12E/1;350.0
VARICELLA ZOSTER - P/C IGM W SUROWICY (OSPA I PÓŁPASIEC) (V69);Gdańsk, ul. Subisława 27C/5;95.0
NASKÓREK SZYNSZYLI (E208) - IGE SWOISTE (L91);Brodnica, ul. Wyspiańskiego 10;61.0
PIETRUSZKA (F86) - IGE SWOISTE (L91);Gliwice, ul. Zwycięstwa 10;61.0
OZNACZENIE GENOTYPU WIR. HCV METODĄ RT-PCR ORAZ HYBRYDYZACJI KW. NUKLEINOWEGO;Wrocław, ul. Biskupia 8a;303.0
BORELIOZA - P/C IGM MET. WESTERN-BLOT (S27);Warszawa, ul. Rzeczypospolitej 20;219.0
